outcome,calibration_ratio,price_impact_lambda,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
market_value_loss,1,0,0,0,200,0,0,0,0,0,0
market_value_loss,1,0,0,1,200,0.0723202258646,0.00263738260035,0.0670780338308,0.0773335044463,0.0671424917663,0.0774979599629
market_value_loss,1,0,0,2,200,0.144661281427,0.00518448024314,0.13428931008,0.154459881871,0.1344830615,0.154839501353
market_value_loss,1,0,1,0,200,0,0,0,0,0,0
market_value_loss,1,0,1,1,200,0.0722981356585,0.0026366230808,0.0670561966028,0.0773119132147,0.067121892656,0.0774743786609
market_value_loss,1,0,1,2,200,0.144616473135,0.0051829437925,0.134245107725,0.154417800769,0.134441269582,0.154791676687
market_value_loss,1,0,2,0,200,0,0,0,0,0,0
market_value_loss,1,0,2,1,200,0.0719816949212,0.00262555763026,0.0667520199984,0.0769877390602,0.0668271757143,0.0771362141281
market_value_loss,1,0,2,2,200,0.143975685192,0.00516066655396,0.13362956701,0.153768517453,0.133844216522,0.154107153862
market_value_loss,1,0.15,0,0,200,0,0,0,0,0,0
market_value_loss,1,0.15,0,1,200,0.0723202258646,0.00263738260035,0.0670780338308,0.0773335044463,0.0671424917663,0.0774979599629
market_value_loss,1,0.15,0,2,200,0.144661281427,0.00518448024314,0.13428931008,0.154459881871,0.1344830615,0.154839501353
market_value_loss,1,0.15,1,0,200,0,0,0,0,0,0
market_value_loss,1,0.15,1,1,200,0.0722948220918,0.00263650922515,0.0670529209823,0.077308674495,0.0671188026118,0.0774708415718
market_value_loss,1,0.15,1,2,200,0.144609751816,0.00518271347579,0.134238477296,0.154411488539,0.134435000423,0.154784503208
market_value_loss,1,0.15,2,0,200,0,0,0,0,0,0
market_value_loss,1,0.15,2,1,200,0.07193091146,0.00262379208903,0.066703141142,0.0769357827147,0.0667798583801,0.0770819645398
market_value_loss,1,0.15,2,2,200,0.143872837791,0.0051571115742,0.133530597723,0.153664741312,0.13374834829,0.153997327292
market_value_loss,2,0,0,0,200,0,0,0,0,0,0
market_value_loss,2,0,0,1,200,0.0482111723438,0.0017681622431,0.0446983484063,0.0515657409445,0.044739899751,0.0516824449367
market_value_loss,2,0,0,2,200,0.0964315930776,0.00349657262439,0.0894663020032,0.103076712219,0.0895670891174,0.103296097038
market_value_loss,2,0,1,0,200,0,0,0,0,0,0
market_value_loss,2,0,1,1,200,0.0481573521287,0.00176629155481,0.0446514175335,0.0515120577503,0.0446897520886,0.0516249521689
market_value_loss,2,0,1,2,200,0.0963229992878,0.00349280943033,0.0893599542535,0.10295975304,0.0894658832652,0.10318011531
market_value_loss,2,0,2,0,200,0,0,0,0,0,0
